Date,Open,High,Low,Close,Volume
2016-07-12,49.683,50.115,49.539,49.937,27757716
2016-07-13,50.265,50.549,49.91,50.22,25450195
2016-07-14,50.53,50.67,50.284,50.434,23096300
2016-07-15,50.63,50.68,49.937,50.398,31698340
2016-07-18,50.398,50.999,50.256,50.64,29336427
2016-07-19,50.408,50.585,49.674,49.825,48704928
2016-07-20,52.698,53.343,52.114,52.471,91179227
2016-07-21,52.538,52.772,52.331,52.368,33003409
2016-07-22,52.631,53.143,52.35,53.092,31689364
2016-07-25,52.996,53.252,52.795,53.243,24182672
2016-07-26,53.045,53.766,53.035,53.27,27387233
2016-07-27,53.126,53.306,52.659,52.734,32558087
2016-07-28,52.556,52.905,52.294,52.753,38609685
2016-07-29,52.8,53.27,52.604,53.194,30175276
2016-08-01,53.118,53.261,52.688,53.101,26174642
2016-08-02,53.353,53.402,52.846,53.101,33662803
2016-08-03,53.194,53.598,53.015,53.465,22083146
2016-08-04,53.306,53.981,53.184,53.861,26761650
2016-08-05,54.106,54.629,53.916,54.394,28255101
2016-08-08,54.485,54.513,54.226,54.49,19007255
2016-08-09,54.592,54.902,54.453,54.621,17574640
2016-08-10,54.583,54.734,54.264,54.453,15640167
2016-08-11,54.462,54.855,54.462,54.715,16943506
2016-08-12,54.462,54.612,54.077,54.375,21495405
2016-08-15,54.443,54.902,54.394,54.545,18209694
2016-08-16,54.403,54.413,54.084,54.244,18444617
2016-08-17,54.339,54.471,54.045,54.358,18550881
2016-08-18,54.224,54.49,54.084,54.393,13048207
2016-08-19,54.234,54.518,54.016,54.413,16749120
2016-08-22,54.393,54.535,54.074,54.461,15024597
2016-08-23,54.676,54.943,54.63,54.668,17863064
2016-08-24,54.583,54.81,54.505,54.726,17372418
2016-08-25,54.659,55.047,54.564,54.933,16998489
2016-08-26,55.038,55.434,54.481,54.81,19926053
2016-08-29,54.943,55.338,54.867,54.867,13463625
2016-08-30,54.755,54.953,54.403,54.668,16934463
2016-08-31,54.442,54.583,54.112,54.262,20254644
2016-09-01,53.837,54.602,53.837,54.374,24755838
2016-09-02,54.461,54.953,54.224,54.461,18839895
2016-09-06,54.564,54.583,54.026,54.403,15868347
2016-09-07,54.272,54.621,54.209,54.452,17443150
2016-09-08,54.422,54.573,53.997,54.234,19079582
2016-09-09,53.629,54.319,53.084,53.084,33075713
2016-09-12,52.885,54.021,52.516,53.876,26142813
2016-09-13,53.355,53.498,52.931,53.384,30282884
2016-09-14,53.253,53.478,52.911,53.127,21514106
2016-09-15,53.025,54.158,52.865,54.006,22211723
2016-09-16,54.422,54.422,53.593,54.064,41745412
2016-09-19,54.084,54.535,53.687,53.761,20680650
2016-09-20,54.158,54.158,53.593,53.648,16982342
2016-09-21,54.309,54.63,53.903,54.545,33991672
